cohort,instance,workflow_family,task_scale,cluster,scenario,deadline_factor,mode,variant,cost,algorithm_time_ms,valid,process_wall_seconds
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,with_ls,slackWR-LS,0,480.0,True,4.78475
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,without_ls,press,0,338.0,True,4.419863
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,without_ls,pressR,0,448.0,True,4.419863
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,without_ls,pressW,0,326.0,True,4.419863
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,without_ls,pressWR,0,436.0,True,4.419863
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,without_ls,slack,0,331.0,True,4.419863
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,without_ls,slackR,0,441.0,True,4.419863
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,without_ls,slackW,0,327.0,True,4.419863
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,without_ls,slackWR,0,430.0,True,4.419863
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,baseline,baseline,0,1.0,True,0.041177
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,with_ls,press-LS,0,10.0,True,0.380552
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,with_ls,pressR-LS,0,14.0,True,0.380552
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,with_ls,pressW-LS,0,11.0,True,0.380552
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,with_ls,pressWR-LS,0,13.0,True,0.380552
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,with_ls,slack-LS,0,11.0,True,0.380552
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,with_ls,slackR-LS,0,14.0,True,0.380552
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,with_ls,slackW-LS,0,9.0,True,0.380552
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,with_ls,slackWR-LS,0,13.0,True,0.380552
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,without_ls,press,0,7.0,True,0.359602
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,without_ls,pressR,0,11.0,True,0.359602
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,without_ls,pressW,0,7.0,True,0.359602
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,without_ls,pressWR,0,11.0,True,0.359602
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,without_ls,slack,0,8.0,True,0.359602
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,without_ls,slackR,0,12.0,True,0.359602
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,without_ls,slackW,0,7.0,True,0.359602
primary,setting1_atacseq200_72_110_11_1_1,atacseq,atacseq200,small,1,2.0,without_ls,slackWR,0,11.0,True,0.359602
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,baseline,baseline,0,1.0,True,0.04096
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,with_ls,press-LS,0,12.0,True,0.397528
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,with_ls,pressR-LS,0,17.0,True,0.397528
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,with_ls,pressW-LS,0,11.0,True,0.397528
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,with_ls,pressWR-LS,0,17.0,True,0.397528
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,with_ls,slack-LS,0,11.0,True,0.397528
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,with_ls,slackR-LS,0,18.0,True,0.397528
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,with_ls,slackW-LS,0,10.0,True,0.397528
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,with_ls,slackWR-LS,0,17.0,True,0.397528
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,without_ls,press,0,9.0,True,0.378063
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,without_ls,pressR,0,14.0,True,0.378063
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,without_ls,pressW,0,8.0,True,0.378063
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,without_ls,pressWR,0,15.0,True,0.378063
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,without_ls,slack,0,8.0,True,0.378063
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,without_ls,slackR,0,15.0,True,0.378063
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,without_ls,slackW,0,7.0,True,0.378063
primary,setting1_atacseq200_72_165_17_1_1,atacseq,atacseq200,small,1,3.0,without_ls,slackWR,0,14.0,True,0.378063
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,baseline,baseline,0,1.0,True,0.039869
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,with_ls,press-LS,0,7.0,True,0.35698
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,with_ls,pressR-LS,0,9.0,True,0.35698
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,with_ls,pressW-LS,0,8.0,True,0.35698
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,with_ls,pressWR-LS,0,10.0,True,0.35698
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,with_ls,slack-LS,0,8.0,True,0.35698
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,with_ls,slackR-LS,0,10.0,True,0.35698
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,with_ls,slackW-LS,0,7.0,True,0.35698
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,with_ls,slackWR-LS,0,10.0,True,0.35698
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,without_ls,press,0,6.0,True,0.344165
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,without_ls,pressR,0,8.0,True,0.344165
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,without_ls,pressW,0,7.0,True,0.344165
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,without_ls,pressWR,0,9.0,True,0.344165
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,without_ls,slack,0,7.0,True,0.344165
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,without_ls,slackR,0,9.0,True,0.344165
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,without_ls,slackW,0,6.0,True,0.344165
primary,setting1_atacseq200_72_55_6_1_1,atacseq,atacseq200,small,1,1.0,without_ls,slackWR,0,9.0,True,0.344165
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,baseline,baseline,0,1.0,True,0.040555
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,with_ls,press-LS,0,8.0,True,0.362548
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,with_ls,pressR-LS,0,12.0,True,0.362548
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,with_ls,pressW-LS,0,8.0,True,0.362548
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,with_ls,pressWR-LS,0,13.0,True,0.362548
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,with_ls,slack-LS,0,9.0,True,0.362548
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,with_ls,slackR-LS,0,13.0,True,0.362548
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,with_ls,slackW-LS,0,8.0,True,0.362548
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,with_ls,slackWR-LS,0,11.0,True,0.362548
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,without_ls,press,0,7.0,True,0.366354
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,without_ls,pressR,0,11.0,True,0.366354
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,without_ls,pressW,0,7.0,True,0.366354
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,without_ls,pressWR,0,10.0,True,0.366354
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,without_ls,slack,0,8.0,True,0.366354
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,without_ls,slackR,0,11.0,True,0.366354
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,without_ls,slackW,0,6.0,True,0.366354
primary,setting1_atacseq200_72_83_9_1_1,atacseq,atacseq200,small,1,1.5,without_ls,slackWR,0,10.0,True,0.366354
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,baseline,baseline,0,0.0,True,0.008107
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,with_ls,press-LS,0,0.0,True,0.036382
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,with_ls,pressR-LS,0,0.0,True,0.036382
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,with_ls,pressW-LS,0,0.0,True,0.036382
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,with_ls,pressWR-LS,0,0.0,True,0.036382
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,with_ls,slack-LS,0,0.0,True,0.036382
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,with_ls,slackR-LS,0,0.0,True,0.036382
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,with_ls,slackW-LS,0,0.0,True,0.036382
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,with_ls,slackWR-LS,0,0.0,True,0.036382
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,without_ls,press,0,0.0,True,0.034529
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,without_ls,pressR,0,0.0,True,0.034529
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,without_ls,pressW,0,0.0,True,0.034529
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,without_ls,pressWR,0,0.0,True,0.034529
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,without_ls,slack,0,0.0,True,0.034529
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,without_ls,slackR,0,0.0,True,0.034529
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,without_ls,slackW,0,0.0,True,0.034529
primary,setting1_bacass_72_21_3_1_1,bacass,bacass,small,1,1.0,without_ls,slackWR,0,0.0,True,0.034529
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,baseline,baseline,0,0.0,True,0.008124
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,with_ls,press-LS,0,0.0,True,0.036823
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,with_ls,pressR-LS,0,0.0,True,0.036823
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,with_ls,pressW-LS,0,0.0,True,0.036823
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,with_ls,pressWR-LS,0,0.0,True,0.036823
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,with_ls,slack-LS,0,0.0,True,0.036823
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,with_ls,slackR-LS,0,0.0,True,0.036823
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,with_ls,slackW-LS,0,0.0,True,0.036823
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,with_ls,slackWR-LS,0,0.0,True,0.036823
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,without_ls,press,0,0.0,True,0.034555
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,without_ls,pressR,0,0.0,True,0.034555
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,without_ls,pressW,0,0.0,True,0.034555
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,without_ls,pressWR,0,0.0,True,0.034555
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,without_ls,slack,0,0.0,True,0.034555
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,without_ls,slackR,0,0.0,True,0.034555
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,without_ls,slackW,0,0.0,True,0.034555
primary,setting1_bacass_72_32_4_1_1,bacass,bacass,small,1,1.5,without_ls,slackWR,0,0.0,True,0.034555
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,baseline,baseline,0,0.0,True,0.008099
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,with_ls,press-LS,0,0.0,True,0.03749
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,with_ls,pressR-LS,0,0.0,True,0.03749
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,with_ls,pressW-LS,0,0.0,True,0.03749
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,with_ls,pressWR-LS,0,0.0,True,0.03749
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,with_ls,slack-LS,0,0.0,True,0.03749
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,with_ls,slackR-LS,0,0.0,True,0.03749
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,with_ls,slackW-LS,0,0.0,True,0.03749
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,with_ls,slackWR-LS,0,0.0,True,0.03749
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,without_ls,press,0,0.0,True,0.035946
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,without_ls,pressR,0,0.0,True,0.035946
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,without_ls,pressW,0,0.0,True,0.035946
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,without_ls,pressWR,0,0.0,True,0.035946
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,without_ls,slack,0,0.0,True,0.035946
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,without_ls,slackR,0,0.0,True,0.035946
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,without_ls,slackW,0,0.0,True,0.035946
primary,setting1_bacass_72_42_5_1_1,bacass,bacass,small,1,2.0,without_ls,slackWR,0,0.0,True,0.035946
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,baseline,baseline,0,0.0,True,0.008305
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,with_ls,press-LS,0,0.0,True,0.037106
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,with_ls,pressR-LS,0,0.0,True,0.037106
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,with_ls,pressW-LS,0,0.0,True,0.037106
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,with_ls,pressWR-LS,0,0.0,True,0.037106
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,with_ls,slack-LS,0,0.0,True,0.037106
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,with_ls,slackR-LS,0,0.0,True,0.037106
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,with_ls,slackW-LS,0,0.0,True,0.037106
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,with_ls,slackWR-LS,0,0.0,True,0.037106
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,without_ls,press,0,0.0,True,0.035234
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,without_ls,pressR,0,0.0,True,0.035234
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,without_ls,pressW,0,0.0,True,0.035234
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,without_ls,pressWR,0,0.0,True,0.035234
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,without_ls,slack,0,0.0,True,0.035234
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,without_ls,slackR,0,0.0,True,0.035234
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,without_ls,slackW,0,0.0,True,0.035234
primary,setting1_bacass_72_63_7_1_1,bacass,bacass,small,1,3.0,without_ls,slackWR,0,0.0,True,0.035234
primary,setting1_eager1000_72_184_19_1_1,eager,eager1000,small,1,1.0,baseline,baseline,5021,10.0,True,0.273989
primary,setting1_eager1000_72_184_19_1_1,eager,eager1000,small,1,1.0,with_ls,press-LS,0,838.0,True,8.69614
primary,setting1_eager1000_72_184_19_1_1,eager,eager1000,small,1,1.0,with_ls,pressR-LS,0,910.0,True,8.69614
primary,setting1_eager1000_72_184_19_1_1,eager,eager1000,small,1,1.0,with_ls,pressW-LS,0,779.0,True,8.69614
primary,setting1_eager1000_72_184_19_1_1,eager,eager1000,small,1,1.0,with_ls,pressWR-LS,0,861.0,True,8.69614
primary,setting1_eager1000_72_184_19_1_1,eager,eager1000,small,1,1.0,with_ls,slack-LS,0,772.0,True,8.69614
primary,setting1_eager1000_72_184_19_1_1,eager,eager1000,small,1,1.0,with_ls,slackR-LS,0,900.0,True,8.69614
primary,setting1_eager1000_72_184_19_1_1,eager,eager1000,small,1,1.0,with_ls,slackW-LS,0,770.0,True,8.69614
primary,setting1_eager1000_72_184_19_1_1,eager,eager1000,small,1,1.0,with_ls,slackWR-LS,0,835.0,True,8.69614
primary,setting1_eager1000_72_184_19_1_1,eager,eager1000,small,1,1.0,without_ls,press,1769,753.0,True,8.262714
primary,setting1_eager1000_72_184_19_1_1,eager,eager1000,small,1,1.0,without_ls,pressR,492,833.0,True,8.262714
